Any[1, 10, 1.1359116022099448e-7, 3.073929961089494e-7, Test Passed, Test Passed]
Any[2, 10, 3.0888888888888888e-6, 3.375e-6, Test Passed, Test Passed]
Any[3, 10, 3.375e-6, 3.928571428571429e-6, Test Passed, Test Passed]
Any[4, 10, 5.925e-6, 5.7e-6, Test Passed, Test Passed]
Any[5, 10, 7.7e-6, 8.6e-6, Test Passed, Test Passed]
Any[6, 10, 8.3e-6, 8.9e-6, Test Passed, Test Passed]
Any[7, 10, 9.1e-6, 8.5e-6, Test Passed, Test Passed]
Any[8, 10, 9.6e-6, 1.1e-5, Test Passed, Test Passed]
Any[9, 10, 1.01e-5, 1.1e-5, Test Passed, Test Passed]
Any[10, 10, 1.01e-5, 1.28e-5, Test Passed, Test Passed]
Any[11, 10, 9.8e-6, 1.21e-5, Test Passed, Test Passed]
Any[12, 10, 1.13e-5, 1.23e-5, Test Passed, Test Passed]
Any[1, 100, 1.2096597145993413e-7, 3.7524752475247526e-7, Test Passed, Test Passed]
Any[2, 100, 3.0375e-6, 3.5e-6, Test Passed, Test Passed]
Any[3, 100, 3.4375e-6, 4.0e-6, Test Passed, Test Passed]
Any[4, 100, 6.0e-6, 6.0e-6, Test Passed, Test Passed]
Any[5, 100, 5.0e-6, 5.5e-6, Test Passed, Test Passed]
Any[6, 100, 5.7e-6, 6.2e-6, Test Passed, Test Passed]
Any[7, 100, 7.1e-6, 6.7e-6, Test Passed, Test Passed]
Any[8, 100, 1.07e-5, 1.17e-5, Test Passed, Test Passed]
Any[9, 100, 1.06e-5, 1.17e-5, Test Passed, Test Passed]
Any[10, 100, 1.14e-5, 1.22e-5, Test Passed, Test Passed]
Any[11, 100, 1.14e-5, 1.25e-5, Test Passed, Test Passed]
Any[12, 100, 1.25e-5, 1.2e-5, Test Passed, Test Passed]
Any[1, 1000, 2.3045563549160673e-7, 1.22e-6, Test Passed, Test Passed]
Any[2, 1000, 3.0625e-6, 4.014285714285714e-6, Test Passed, Test Passed]
Any[3, 1000, 3.6375e-6, 3.971428571428572e-6, Test Passed, Test Passed]
Any[4, 1000, 5.4e-6, 7.233333333333333e-6, Test Passed, Test Passed]
Any[5, 1000, 5.8e-6, 5.8e-6, Test Passed, Test Passed]
Any[6, 1000, 5.4e-6, 6.5e-6, Test Passed, Test Passed]
Any[7, 1000, 5.8e-6, 6.1e-6, Test Passed, Test Passed]
Any[8, 1000, 1.06e-5, 1.16e-5, Test Passed, Test Passed]
Any[9, 1000, 1.13e-5, 1.18e-5, Test Passed, Test Passed]
Any[10, 1000, 1.17e-5, 1.28e-5, Test Passed, Test Passed]
Any[11, 1000, 1.15e-5, 1.22e-5, Test Passed, Test Passed]
Any[12, 1000, 1.22e-5, 1.34e-5, Test Passed, Test Passed]
Any[1, 10000, 1.28e-6, 9.6e-6, Test Passed, Test Passed]
Any[2, 10000, 3.4333333333333336e-6, 8.366666666666666e-6, Test Passed, Test Passed]
Any[3, 10000, 3.842857142857143e-6, 8.4e-6, Test Passed, Test Passed]
Any[4, 10000, 6.5e-6, 9.3e-6, Test Passed, Test Passed]
Any[5, 10000, 5.7e-6, 8.9e-6, Test Passed, Test Passed]
Any[6, 10000, 6.3e-6, 8.6e-6, Test Passed, Test Passed]
Any[7, 10000, 6.7e-6, 8.1e-6, Test Passed, Test Passed]
Any[8, 10000, 1.23e-5, 1.24e-5, Test Passed, Test Passed]
Any[9, 10000, 1.25e-5, 1.31e-5, Test Passed, Test Passed]
Any[10, 10000, 1.3e-5, 1.3e-5, Test Passed, Test Passed]
Any[11, 10000, 1.19e-5, 1.37e-5, Test Passed, Test Passed]
Any[12, 10000, 1.4e-5, 1.36e-5, Test Passed, Test Passed]
Any[1, 100000, 1.15e-5, 9.35e-5, Test Passed, Test Passed]
Any[2, 100000, 8.8e-6, 5.64e-5, Test Passed, Test Passed]
Any[3, 100000, 9.8e-6, 5.72e-5, Test Passed, Test Passed]
Any[4, 100000, 1.13e-5, 4.0e-5, Test Passed, Test Passed]
Any[5, 100000, 1.11e-5, 3.99e-5, Test Passed, Test Passed]
Any[6, 100000, 9.5e-6, 4.07e-5, Test Passed, Test Passed]
Any[7, 100000, 9.7e-6, 3.89e-5, Test Passed, Test Passed]
Any[8, 100000, 1.48e-5, 3.4e-5, Test Passed, Test Passed]
Any[9, 100000, 1.4e-5, 3.3e-5, Test Passed, Test Passed]
Any[10, 100000, 1.46e-5, 3.19e-5, Test Passed, Test Passed]
Any[11, 100000, 1.45e-5, 3.3e-5, Test Passed, Test Passed]
Any[12, 100000, 1.48e-5, 3.37e-5, Test Passed, Test Passed]
Any[1, 1000000, 0.0001167, 0.0009212, Test Passed, Test Passed]
Any[2, 1000000, 7.02e-5, 0.0005449, Test Passed, Test Passed]
Any[3, 1000000, 7.3e-5, 0.0005172, Test Passed, Test Passed]
Any[4, 1000000, 5.86e-5, 0.0003448, Test Passed, Test Passed]
Any[5, 1000000, 4.94e-5, 0.000343, Test Passed, Test Passed]
Any[6, 1000000, 4.94e-5, 0.0003317, Test Passed, Test Passed]
Any[7, 1000000, 5.02e-5, 0.0003096, Test Passed, Test Passed]
Any[8, 1000000, 5.25e-5, 0.0002346, Test Passed, Test Passed]
Any[9, 1000000, 5.11e-5, 0.0002295, Test Passed, Test Passed]
Any[10, 1000000, 5.15e-5, 0.0002265, Test Passed, Test Passed]
Any[11, 1000000, 4.28e-5, 0.0002351, Test Passed, Test Passed]
Any[12, 1000000, 3.95e-5, 0.0002268, Test Passed, Test Passed]
